"Col0","apoapo_rep1","apoapo_rep2","apoapo_rep3","apoapo_rep4","apoapo_rep5","aposym_rep1","aposym_rep2","aposym_rep3","aposym_rep4","aposym_rep5","symsym_rep1","symsym_rep2","symsym_rep3","symsym_rep4","symsym_rep5","symsym_rep6","apona_rep1","apona_rep2","apona_rep3","nana_rep1","nana_rep2","nana_rep3"
"XM_021042810.1",3.489971,0,0,0,40.149395,0,0,197.79869,289.010975,560.749954,0,0,0,0,0,0,71.250369,1080.646667,915.055799,406.703659,0,2408.664701
"XM_021058534.1",1,58,402,0,0,1895.390135,815.222197,159,12,1187.051453,0,0,0,0,0,56,0,0,6,716,32,8644.806211
"XR_002334538.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021042549.1",0,0,0,0,0,0,0,9.955666,0,0,0,0,0,0,0,0,0,26.918108,0,0,0,0
"XM_021044543.1",0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"XM_021050390.1",133,0,13,207,0,0,0,15,0,0,0,0,0,0,0,0,0,6,0,78,2,72
"XM_021038950.1",0,0,0,0,0,303.753809,3,0,0,0,0,0,0,0,0,0,0,0,45.852711,0,0,0
"XM_021036721.1",0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021050404.1",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,294,0,0,0
"XM_021051911.1",0,0,74,91,0,0,4250.284683,92.476069,0,0,0,0,0,0,0,0,0,2438.43084,153.150951,0,3533.542751,0
"XM_021049864.1",0,0,0,0,0,5.90523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021042156.1",510,1638,664,1993,240.165376,15,89,430,0,1517,60,0,0,0,177,2,0,833,485,1804,4387,3830
"XM_021037966.1",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021058355.1",9.405283,144.156111,14.735525,0,0,51.926032,0,21.18181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021043241.1",869.798624,295.818037,0.000001,0,2.396935,0,406.735782,445.377335,7.408192,296.599821,0.000001,0,0,0,0,0,0,397.478261,94.313285,1016.814219,0,4042.784063
"XM_021049406.1",289,662,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,606,225
"XM_021061859.1",0,0,10,162,0,2374,627,88,1,155,298,0,0,407,1,0,5,0,0,317,137,293
"XM_021054979.1",127,0,10,0,0,4.188537,1,5,0,0,1,0,0,0,0,0,0,0,2.019747,0,0,0
"XM_021046425.1",6,0,0,0,0,0,44,8,0,0,0,0,0,2,0,0,0,16,0,0,0,0
"XM_021041623.1",36.134088,0,1.340308,1.488507,0,0,0,48.207171,230.472182,0,0,0,0,0,0,0,0,11.537985,0,1.348669,1356,2.726573
"XM_021052514.1",0,0,5,0,29.883192,0,9,0,0,115.778161,1,0,54,0,58,0,0,1,9,11.24208,0,0
"XM_021043528.1",0,0,6,0,0,0,0,0,0,1,0,0,0,0,127,0,0,0,1,0,0,0
"XM_021053580.1",3.385356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XR_002335198.1",35,219,0,0,0,1668,0,0,174,0,0,0,0,0,0,0,0,69,93,0,0,0
"XM_021059326.1",0,0,4.710228,0,0,4.922258,0,12.852175,0,0,0,0,0,0,0,0,0,0,749.110587,114.187364,0,4.909011
"XM_021039770.1",1968,0,4,0,0,0,0,138,858,904,0,0,0,682,0,0,0,0,0,554,0,1
"XM_021047229.1",0,0,0,0,0,0,0,59.324875,51.929505,0,0,0,0,0,0,0,0,0,0,2035.749169,263.619611,0
"XM_021058664.1",97,34,0,0,0,950,240,520,0,648,4,2,0,0,3247,0,0,0,248,965,3083,0
"XM_021039468.1",1100,5,0,0,0,0,752,126,482,0,0,0,0,9,1,3957,212,975,1167,2087,373,6473
"XM_021039127.1",0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XM_021056019.1",83,0,0,0,0,0,371,28,565,0,0,0,0,0,0,0,0,0,0,813,0,0
"XM_021052561.1",136.36382,2,27.11983,46.665554,0,0,770.445044,0,0,353.099806,0,2,0,1,0,0,0,0,0,5.766413,0,3155.618924
"XM_021061121.1",2,0,127,0,4,0,0,432,0,800,0,0,0,0,0,0,0,0,533,1394,0,0
"XM_021040928.1",5.000693,0,0,0,77,963.531963,0,356.224932,0,787,0,0,0,0,0,1,0,0,0,731,15924,0
"XM_021043969.1",0,0,0,0,6.889435,0,0,21.71436,0,0,0.5,0,0,0,0,0,0,0,0,7.669013,18.27506,43.873019
"XM_021036234.1",460,0,523,0,1845,4574,115,704,0,1164,0,0,0,0,7290,0,0,1762,1427,912,0,5557
