"Repeat(Date)","Algae","Well_ID","Larvae","Number of Symbionts","Time_post_infection"
"I","N. oculata","NI1",49,4,"1"
"I","N. oculata","NI1",50,4,"1"
"II","N. oculata","NII1",1,0,"1"
"II","N. oculata","NII1",2,2,"1"
"II","N. oculata","NII1",3,3,"1"
"II","N. oculata","NII1",4,1,"1"
"II","N. oculata","NII1",5,1,"1"
"II","N. oculata","NII1",6,2,"1"
"II","N. oculata","NII1",7,5,"1"
"II","N. oculata","NII1",8,1,"1"
"II","N. oculata","NII1",9,0,"1"
"II","N. oculata","NII1",10,0,"1"
"II","N. oculata","NII1",11,0,"1"
"II","N. oculata","NII1",12,0,"1"
"II","N. oculata","NII1",13,1,"1"
"II","N. oculata","NII1",14,1,"1"
"II","N. oculata","NII1",15,1,"1"
"II","N. oculata","NII1",16,1,"1"
"II","N. oculata","NII1",17,0,"1"
"II","N. oculata","NII1",18,0,"1"
"II","N. oculata","NII1",19,0,"1"
"II","N. oculata","NII1",20,4,"1"
"II","N. oculata","NII1",21,0,"1"
"II","N. oculata","NII1",22,1,"1"
"II","N. oculata","NII1",23,2,"1"
"II","N. oculata","NII1",24,0,"1"
"II","N. oculata","NII1",25,0,"1"
"II","N. oculata","NII1",26,0,"1"
"II","N. oculata","NII1",27,0,"1"
"II","N. oculata","NII1",28,0,"1"
"II","N. oculata","NII1",29,0,"1"
"II","N. oculata","NII1",30,1,"1"
"II","N. oculata","NII1",31,5,"1"
"II","N. oculata","NII1",32,0,"1"
"II","N. oculata","NII1",33,2,"1"
"II","N. oculata","NII1",34,2,"1"
"II","N. oculata","NII1",35,1,"1"
"II","N. oculata","NII1",36,0,"1"
"II","N. oculata","NII1",37,0,"1"
"II","N. oculata","NII1",38,0,"1"
"II","N. oculata","NII1",39,0,"1"
"II","N. oculata","NII1",40,0,"1"
"II","N. oculata","NII1",41,0,"1"
"II","N. oculata","NII1",42,0,"1"
"II","N. oculata","NII1",43,4,"1"
"III","N. oculata","NIII1",1,0,"1"
"III","N. oculata","NIII1",2,0,"1"
"III","N. oculata","NIII1",3,0,"1"
"III","N. oculata","NIII1",4,0,"1"
"III","N. oculata","NIII1",5,5,"1"
"III","N. oculata","NIII1",6,0,"1"
"III","N. oculata","NIII1",7,7,"1"
"III","N. oculata","NIII1",8,12,"1"
"III","N. oculata","NIII1",9,2,"1"
"III","N. oculata","NIII1",10,5,"1"
"III","N. oculata","NIII1",11,1,"1"
"III","N. oculata","NIII1",12,0,"1"
"III","N. oculata","NIII1",13,0,"1"
"III","N. oculata","NIII1",14,0,"1"
"III","N. oculata","NIII1",15,0,"1"
"III","N. oculata","NIII1",16,0,"1"
